case_id,domain,instance,has_social_law,verifier,status,planner_status,single_agent_statuses,elapsed_seconds,source_problem_name,compiled_problem_name,warnings,log_file
civ__pfile1__with_sl,civ,pfile1.json,True,general,UNKNOWN,TIMEOUT,a0:SOLVED_SATISFICING;a1:SOLVED_SATISFICING,33.572,sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,wrbv_sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,Compiled robustness problem returned TIMEOUT.,experimentation/.archive/runs/example_civ/logs/general__civ__pfile1__with_sl.log
civ__pfile1__with_sl,civ,pfile1.json,True,simple,NON_ROBUST_SINGLE_AGENT,UNSOLVABLE_PROVEN,a0:UNSOLVABLE_PROVEN,1.278,sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,snrbv_sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,,experimentation/.archive/runs/example_civ/logs/simple__civ__pfile1__with_sl.log
civ__pfile1__without_sl,civ,pfile1.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,a0:SOLVED_SATISFICING;a1:SOLVED_SATISFICING,2.4,civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,wrbv_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,,experimentation/.archive/runs/example_civ/logs/general__civ__pfile1__without_sl.log
civ__pfile1__without_sl,civ,pfile1.json,False,simple,NON_ROBUST_SINGLE_AGENT,UNSOLVABLE_PROVEN,a0:UNSOLVABLE_PROVEN,0.891,civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,snrbv_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,,experimentation/.archive/runs/example_civ/logs/simple__civ__pfile1__without_sl.log
civ__pfile1__with_sl,civ,pfile1.json,True,general,UNKNOWN,TIMEOUT,a0:SOLVED_SATISFICING;a1:SOLVED_SATISFICING,33.456,sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,wrbv_sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,Compiled robustness problem returned TIMEOUT.,experimentation/.archive/runs/example_civ/logs/general__civ__pfile1__with_sl.log
civ__pfile1__with_sl,civ,pfile1.json,True,simple,NON_ROBUST_SINGLE_AGENT,UNSOLVABLE_PROVEN,a0:UNSOLVABLE_PROVEN,1.831,sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,snrbv_sl_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,,experimentation/.archive/runs/example_civ/logs/simple__civ__pfile1__with_sl.log
civ__pfile1__without_sl,civ,pfile1.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,a0:SOLVED_SATISFICING;a1:SOLVED_SATISFICING,2.613,civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,wrbv_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1,,experimentation/.archive/runs/example_civ/logs/general__civ__pfile1__without_sl.log
civ__pfile1__without_sl,civ,pfile1.json,False,simple,NON_ROBUST_SINGLE_AGENT,UNSOLVABLE_PROVEN,a0:UNSOLVABLE_PROVEN,0.903,civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,snrbv_civ_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/numeric_problems_instances/civ/json/pfile1_NUM_STRIPS,,experimentation/.archive/runs/example_civ/logs/simple__civ__pfile1__without_sl.log
