case_id,domain,instance,has_social_law,verifier,status,planner_status,single_agent_statuses,elapsed_seconds,source_problem_name,compiled_problem_name,warnings,log_file
numeric_markettrader__pfile1__without_sl,numeric_markettrader,pfile1.json,False,general,NON_ROBUST_SINGLE_AGENT,UNSOLVABLE_PROVEN,camel0:UNSOLVABLE_PROVEN,0.858,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile1,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile1,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_144102/logs/general__numeric_markettrader__pfile1__without_sl.log
numeric_markettrader__pfile2__without_sl,numeric_markettrader,pfile2.json,False,general,NON_ROBUST_SINGLE_AGENT,UNSOLVABLE_PROVEN,camel0:UNSOLVABLE_PROVEN,0.858,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_144102/logs/general__numeric_markettrader__pfile2__without_sl.log
numeric_markettrader__pfile3__without_sl,numeric_markettrader,pfile3.json,False,general,NON_ROBUST_SINGLE_AGENT,UNSOLVABLE_PROVEN,camel0:UNSOLVABLE_PROVEN,1.185,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_144102/logs/general__numeric_markettrader__pfile3__without_sl.log
