case_id,domain,instance,has_social_law,verifier,status,planner_status,single_agent_statuses,elapsed_seconds,source_problem_name,compiled_problem_name,warnings,log_file
numeric_markettrader__pfile2__without_sl,numeric_markettrader,pfile2.json,False,general,NON_ROBUST_MULTI_AGENT_FAIL,SOLVED_SATISFICING,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,2.568,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_170141/logs/general__numeric_markettrader__pfile2__without_sl.log
numeric_markettrader__pfile3__without_sl,numeric_markettrader,pfile3.json,False,general,NON_ROBUST_MULTI_AGENT_FAIL,SOLVED_SATISFICING,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,6.061,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_170141/logs/general__numeric_markettrader__pfile3__without_sl.log
numeric_markettrader__pfile4__without_sl,numeric_markettrader,pfile4.json,False,general,NON_ROBUST_MULTI_AGENT_FAIL,SOLVED_SATISFICING,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,6.322,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile4,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile4,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_170141/logs/general__numeric_markettrader__pfile4__without_sl.log
numeric_markettrader__pfile5__without_sl,numeric_markettrader,pfile5.json,False,general,NON_ROBUST_MULTI_AGENT_FAIL,SOLVED_SATISFICING,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,9.025,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile5,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile5,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_170141/logs/general__numeric_markettrader__pfile5__without_sl.log
numeric_markettrader__pfile6__without_sl,numeric_markettrader,pfile6.json,False,general,NON_ROBUST_MULTI_AGENT_FAIL,SOLVED_SATISFICING,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,8.145,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile6,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile6,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_170141/logs/general__numeric_markettrader__pfile6__without_sl.log
