case_id,domain,instance,has_social_law,verifier,status,planner_status,single_agent_statuses,elapsed_seconds,source_problem_name,compiled_problem_name,warnings,log_file
numeric_markettrader__pfile1__without_sl,numeric_markettrader,pfile1.json,False,general,UNKNOWN,WORKER_ERROR,,0,,,"UPTypeError: InstantaneousAction effect has an incompatible value type. Fluent type: integer[0, 1] // Value type: integer[20, 20]",/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_161201/logs/general__numeric_markettrader__pfile1__without_sl.log
numeric_markettrader__pfile2__without_sl,numeric_markettrader,pfile2.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,2.098,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_161201/logs/general__numeric_markettrader__pfile2__without_sl.log
numeric_markettrader__pfile3__without_sl,numeric_markettrader,pfile3.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,4.088,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_161201/logs/general__numeric_markettrader__pfile3__without_sl.log
